id,Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
2006000,Wii Sports,Wii,2006,Sports,Nintendo,41.36,28.96,3.77,8,82.53
1985000,Super Mario Bros.,NES,1985,Platform,Nintendo,29.08,3.58,6.81,1,40.24
2008000,Mario Kart Wii,Wii,2008,Racing,Nintendo,15.68,12.76,3.79,3,35.52
2009000,Wii Sports Resort,Wii,2009,Sports,Nintendo,15.61,10.93,3.28,3,32.77
1996000,Pokemon Red/Pokemon Blue,GB,1996,Role-Playing,Nintendo,11.27,8.89,10.22,1,31.37
1989000,Tetris,GB,1989,Puzzle,Nintendo,23.20,2.26,4.22,1,30.26
2006001,New Super Mario Bros.,DS,2006,Platform,Nintendo,11.28,9.14,6.50,3,29.80
2006002,Wii Play,Wii,2006,Misc,Nintendo,13.96,9.18,2.93,3,28.92
2009001,New Super Mario Bros. Wii,Wii,2009,Platform,Nintendo,14.44,6.94,4.70,2,28.32
1984000,Duck Hunt,NES,1984,Shooter,Nintendo,26.93,0.63,0.28,0,28.31
2005000,Nintendogs,DS,2005,Simulation,Nintendo,9.05,10.95,1.93,3,24.67
2005001,Mario Kart DS,DS,2005,Racing,Nintendo,9.71,7.47,4.13,2,23.21
1999000,Pokemon Gold/Pokemon Silver,GB,1999,Role-Playing,Nintendo,9.00,6.18,7.20,1,23.10
2007000,Wii Fit,Wii,2007,Sports,Nintendo,8.92,8.03,3.60,2,22.70
2010000,Kinect Adventures!,X360,2010,Misc,Microsoft Game Studios,15.00,4.89,0.24,2,21.81
2009002,Wii Fit Plus,Wii,2009,Sports,Nintendo,9.01,8.49,2.53,2,21.79
2013000,Grand Theft Auto V,PS3,2013,Action,Take-Two Interactive,7.02,9.09,0.98,4,21.04
2004000,Grand Theft Auto: San Andreas,PS2,2004,Action,Take-Two Interactive,9.43,0.40,0.41,11,20.81
1990000,Super Mario World,SNES,1990,Platform,Nintendo,12.78,3.75,3.54,1,20.61
2005002,Brain Age: Train Your Brain in Minutes a Day,DS,2005,Misc,Nintendo,4.74,9.20,4.16,2,20.15
2006003,Pokemon Diamond/Pokemon Pearl,DS,2006,Role-Playing,Nintendo,6.38,4.46,6.04,1,18.25
1989001,Super Mario Land,GB,1989,Platform,Nintendo,10.83,2.71,4.18,0,18.14
1988000,Super Mario Bros. 3,NES,1988,Platform,Nintendo,9.54,3.44,3.84,0,17.28
2013001,Grand Theft Auto V,X360,2013,Action,Take-Two Interactive,9.66,5.14,0.06,1,16.27
2002000,Grand Theft Auto: Vice City,PS2,2002,Action,Take-Two Interactive,8.41,5.49,0.47,2,16.15
2002001,Pokemon Ruby/Pokemon Sapphire,GBA,2002,Role-Playing,Nintendo,6.06,3.90,5.38,0,15.85
2005003,Brain Age 2: More Training in Minutes a Day,DS,2005,Puzzle,Nintendo,3.43,5.35,5.32,1,15.29
2010001,Pokemon Black/Pokemon White,DS,2010,Role-Playing,Nintendo,5.51,3.17,5.65,1,15.14
2001000,Gran Turismo 3: A-Spec,PS2,2001,Racing,Sony Computer Entertainment,6.85,5.09,1.87,1,14.98
2011000,Call of Duty: Modern Warfare 3,X360,2011,Shooter,Activision,9.04,4.24,0.13,1,14.73
1998000,Pokémon Yellow: Special Pikachu Edition,GB,1998,Role-Playing,Nintendo,5.89,5.04,3.12,1,14.64
2015000,Call of Duty: Black Ops 3,PS4,2015,Shooter,Activision,6.03,5.86,0.36,2,14.63
2010002,Call of Duty: Black Ops,X360,2010,Shooter,Activision,9.70,3.68,0.11,1,14.61
2013002,Pokemon X/Pokemon Y,3DS,2013,Role-Playing,Nintendo,5.28,4.19,4.35,1,14.60
2012000,Call of Duty: Black Ops II,PS3,2012,Shooter,Activision,4.99,5.73,0.65,2,13.79
2012001,Call of Duty: Black Ops II,X360,2012,Shooter,Activision,8.25,4.24,0.07,1,13.67
2009003,Call of Duty: Modern Warfare 2,X360,2009,Shooter,Activision,8.52,3.59,0.08,1,13.47
2011001,Call of Duty: Modern Warfare 3,PS3,2011,Shooter,Activision,5.54,5.73,0.49,2,13.32
2001001,Grand Theft Auto III,PS2,2001,Action,Take-Two Interactive,6.99,4.51,0.30,1,13.10
2008001,Super Smash Bros. Brawl,Wii,2008,Fighting,Nintendo,6.62,2.55,2.66,1,12.84
2011002,Mario Kart 7,3DS,2011,Racing,Nintendo,5.03,4.02,2.69,1,12.66
2010003,Call of Duty: Black Ops,PS3,2010,Shooter,Activision,5.99,4.37,0.48,2,12.63
2014000,Grand Theft Auto V,PS4,2014,Action,Take-Two Interactive,3.96,6.31,0.38,2,12.61
2005004,Animal Crossing: Wild World,DS,2005,Simulation,Nintendo,2.50,3.45,5.33,1,12.13
