Position,Key,Artist Name,Song Name,Days,Top 10 (xTimes),Peak Position,Peak Position (xTimes),Peak Streams,Total Streams
1,937872358,Post Malone ,Sunflower  SpiderMan: Into the SpiderVerse,1506,302.000000,1,(x29),2118242,883369738
2,548738414,Juice WRLD ,Lucid Dreams,1673,178.000000,1,(x20),2127668,864832399
3,380590835,Lil Uzi Vert ,XO TOUR Llif3,1853,212.000000,1,(x4),1660502,781153024
4,256063362,J. Cole ,No Role Modelz,2547,6.000000,7,0,659366,734857487
5,503842808,Post Malone ,rockstar,1223,186.000000,1,(x124),2905678,718865961
6,1251960223,Travis Scott ,goosebumps,1995,4.000000,8,0,977275,672972704
7,320800007,The Weeknd ,Blinding Lights,1100,233.000000,1,(x11),2355059,644287953
8,40751304,XXXTENTACION ,Jocelyn Flores,1673,44.000000,2,(x1),3175206,624457164
9,771281046,XXXTENTACION ,SAD!,1217,133.000000,1,(x6),4437612,619879245
10,967323710,Juice WRLD ,All Girls Are The Same,1681,2.000000,5,0,1239152,613872384
11,2059383470,Kendrick Lamar ,HUMBLE.,1175,152.000000,1,(x67),4060034,606305588
12,1579719587,Post Malone ,Circles,1172,163.000000,1,(x38),3441328,598521764
13,775199742,Travis Scott ,SICKO MODE,1046,190.000000,1,(x19),4129691,586638599
14,689043013,Lil Baby ,Drip Too Hard (Lil Baby & Gunna),1453,122.000000,1,(x6),1759294,583443174
15,1332317666,Post Malone ,Congratulations,1215,136.000000,5,0,1263208,546036924
16,627642853,Post Malone ,I Fall Apart,1278,132.000000,2,(x14),1275320,543144261
17,700293049,Glass Animals ,Heat Waves,763,248.000000,1,(x34),1230046,540754791
18,2116922024,Drake ,God's Plan,634,139.000000,1,(x70),4739798,534994242
19,1911094744,Roddy Ricch ,The Box,650,197.000000,1,(x85),3781452,504210201
20,593891234,J. Cole ,MIDDLE CHILD,1119,106.000000,1,(x16),3800251,481985952
21,374142115,XXXTENTACION ,Fuck Love,1406,9.000000,5,0,2438715,473417295
22,1136875662,Post Malone ,Better Now,862,72.000000,1,(x8),3467168,463551468
23,422607262,Drake ,One Dance,772,187.000000,1,(x103),2767175,454267392
24,1135204896,Olivia Rodrigo ,good 4 u,547,187.000000,1,(x53),4974833,454100610
25,333533913,Juice WRLD ,Robbery,1086,38.000000,2,(x2),1724447,443773199
26,1272564181,Billie Eilish ,lovely,1250,0.000000,18,0,733267,437911914
27,491450083,Joji ,SLOW DANCING IN THE DARK,1496,0.000000,26,0,661274,437333177
28,2057242123,XXXTENTACION ,Moonlight,923,57.000000,2,(x2),3167290,431568186
29,1233541005,Offset ,Ric Flair Drip (& Metro Boomin),1065,86.000000,4,0,1040394,427614856
30,1277250086,The Kid LAROI ,Stay,531,271.000000,1,(x45),2345292,426712325
31,2125209880,Lewis Capaldi ,Someone You Loved,952,40.000000,5,0,1118953,410725370
32,23929714,Harry Styles ,Watermelon Sugar,988,65.000000,3,(x3),1609066,409073262
33,1825988499,Post Malone ,Wow.,699,115.000000,1,(x6),2317682,405812776
34,358317066,Khalid ,Location,999,29.000000,9,0,958542,403645089
